date,close
2011-12-29,61.21
2011-12-30,60.99
2012-01-03,61.37
2012-01-04,60.02
2012-01-05,59.95
2012-01-06,58.92
2012-01-09,60.88
2012-01-10,61.13
2012-01-11,60.51
2012-01-12,60.99
2012-01-13,59.62
2012-01-17,60.74
2012-01-18,61.96
2012-01-19,62.45
2012-01-20,62.11
2012-01-23,61.14
2012-01-24,61.44
2012-01-25,62.17
2012-01-26,61.89
2012-01-27,61.55
2012-01-30,61.11
2012-01-31,60.8
2012-02-01,62.74
2012-02-02,63.01
2012-02-03,64.56
2012-02-06,64.05
2012-02-07,64.82
2012-02-08,64.45
2012-02-09,65.25
2012-02-10,64.27
2012-02-13,64.98
2012-02-14,64.71
2012-02-15,64.23
2012-02-16,65.37
2012-02-17,65.37
2012-02-21,65.49
2012-02-22,65.75
2012-02-23,66.0
2012-02-24,66.25
2012-02-27,65.99
2012-02-28,66.85
2012-02-29,67.25
2012-03-01,68.42
2012-03-02,66.88
2012-03-05,67.25
2012-03-06,65.88
2012-03-07,66.87
2012-03-08,69.56
2012-03-09,69.56
2012-03-12,70.89
2012-03-13,71.69
2012-03-14,71.43
2012-03-15,71.4
2012-03-16,72.34
2012-03-19,72.39
2012-03-20,72.38
2012-03-21,72.46
2012-03-22,72.62
2012-03-23,72.15
2012-03-26,73.48
2012-03-27,72.89
2012-03-28,72.34
2012-03-29,72.0
2012-03-30,72.72
2012-04-02,73.42
2012-04-03,73.52
2012-04-04,71.37
2012-04-05,70.85
2012-04-09,70.67
2012-04-10,70.07
2012-04-11,71.09
2012-04-12,72.29
2012-04-13,70.86
2012-04-16,72.08
2012-04-17,72.44
2012-04-18,73.86
2012-04-19,73.2
2012-04-20,72.78
2012-04-23,71.94
2012-04-24,71.45
2012-04-25,71.8
2012-04-26,72.65
2012-04-27,72.64
2012-04-30,72.62
2012-05-01,73.21
2012-05-02,72.92
2012-05-03,74.33
2012-05-04,73.56
2012-05-07,74.92
2012-05-08,72.8
2012-05-09,71.71
2012-05-10,71.56
2012-05-11,71.95
2012-05-14,71.49
2012-05-15,70.83
2012-05-16,70.1
2012-05-17,69.39
2012-05-18,68.33
2012-05-21,68.72
2012-05-22,68.64
2012-05-23,67.59
2012-05-24,68.62
2012-05-25,68.28
2012-05-29,68.95
2012-05-30,67.52
2012-05-31,67.7
2012-06-01,65.57
2012-06-04,65.95
2012-06-05,66.02
2012-06-06,68.12
2012-06-07,67.6
2012-06-08,68.13
2012-06-11,67.2
2012-06-12,69.01
2012-06-13,69.94
2012-06-14,71.33
2012-06-15,70.97
2012-06-18,70.77
2012-06-19,71.29
2012-06-20,70.19
2012-06-21,69.45
2012-06-22,70.29
2012-06-25,70.85
2012-06-26,72.67
2012-06-27,73.35
2012-06-28,73.79
2012-06-29,79.65
2012-07-02,79.3
2012-07-03,79.51
2012-07-05,78.24
2012-07-06,77.8
2012-07-09,77.77
2012-07-10,78.33
2012-07-11,77.17
2012-07-12,76.73
2012-07-13,77.47
2012-07-16,77.26
2012-07-17,77.28
2012-07-18,78.51
2012-07-19,79.44
2012-07-20,77.87
2012-07-23,76.97
